"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","Question.Text","Question.Type","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","NA","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"RCC Practice Daily Diary Items","","3884","Question 6167","RCC Practice Daily Diary Items ID 388","Item 6024","Question","RCC Practice Daily Diary Items ID 388","How INTENSE have your alcohol or drug cravings been?",3,NA,NA,NA,NA,NA,NA,"Q_6167","Slider","numeric",FALSE
"RCC Practice Daily Diary Items","","3885","Question 6165","RCC Practice Daily Diary Items ID 388","Item 6025","Question","RCC Practice Daily Diary Items ID 388","Today...",6,NA,NA,NA,NA,"6020",NA,"Q_6165","Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items","","3886","Question 6163","RCC Practice Daily Diary Items ID 388","Item 6021","Question","Item 6026","Where did you attend the meeting?",7,NA,NA,NA,NA,NA,NA,"Q_6163","Multiple Select","integer",TRUE
"RCC Practice Daily Diary Items","","3887","Question 6164","RCC Practice Daily Diary Items ID 388","Item 6022","Question","Item 6026","How useful was the meeting for you?",3,NA,NA,NA,NA,NA,NA,"Q_6164","Slider","numeric",FALSE
"RCC Practice Daily Diary Items","","3888","Question 6168","RCC Practice Daily Diary Items ID 388","Item 6028","Question","RCC Practice Daily Diary Items ID 388","My day has been...",17,NA,NA,NA,NA,NA,NA,"Q_6168","Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items","","3889","Question 6169","RCC Practice Daily Diary Items ID 388","Item 6029","Question","RCC Practice Daily Diary Items ID 388","THINKING ABOUT TODAY, I feel like...",17,NA,NA,NA,NA,NA,NA,"Q_6169","Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items","","38810","Question 6170","RCC Practice Daily Diary Items ID 388","Item 6030","Question","RCC Practice Daily Diary Items ID 388","Other people in recovery showed...",17,NA,NA,NA,NA,NA,NA,"Q_6170","Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items","","38811","Question 6171","RCC Practice Daily Diary Items ID 388","Item 6031","Question","RCC Practice Daily Diary Items ID 388","When thinking about tomorrow...",6,NA,NA,NA,NA,NA,NA,"Q_6171","Informational Fullscreen",NA,FALSE
"RCC Practice Daily Diary Items","","38812","Question 6172","RCC Practice Daily Diary Items ID 388","Item 6032","Question","RCC Practice Daily Diary Items ID 388","I think tomorrow will be...",17,NA,NA,NA,NA,NA,NA,"Q_6172","Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items","","38813","Question 6173","RCC Practice Daily Diary Items ID 388","Item 6033","Question","RCC Practice Daily Diary Items ID 388","I'm worried about my ability to...",17,NA,NA,NA,NA,NA,NA,"Q_6173","Multiple Slider",NA,TRUE
"RCC Practice Daily Diary Items","","38814","Question 6174","RCC Practice Daily Diary Items ID 388","Item 6034","Question","RCC Practice Daily Diary Items ID 388","OPTIONAL DAILY REFLECTION: Describe what was challenging and/or good about your day and how you feel about it (about recovery or not): Up to around 100 words",11,NA,NA,NA,NA,NA,NA,"Q_6174","Free Response","character",FALSE
NA,NA,NA,NA,"Daily Diary ID 365","Item 5745","Block","Daily Diary ID 365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 365","Item 5746","Block","Daily Diary ID 365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 365","Item 5756","Block","Daily Diary ID 365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 365","Item 5786","Block","Daily Diary ID 365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Diary ID 365","Item 5763","Block","Daily Diary ID 365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"RCC Practice Daily Diary Items ID 388","Item 6026","Block","RCC Practice Daily Diary Items ID 388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
