"Survey.LongName","Group","Survey.QID","Question.ID","Survey","Item.ID","Item.Type","Parent","Question.Text","Question.Type","NA","Conditional.Child.Item.ID","Conditional.Fail.Item.ID","Conditional.Threshold","Conditional.Type","Conditional.Master.Item.ID","QID","Question.Type.Display.Name","Result.Type","Multiple.Question.Type"
"Daily Survey 2","","1136","Question 79","Daily Survey 2 ID 11","Item 97","Question","Daily Survey 2 ID 11","Did the pain or discomfort you experienced today interfere with your ability to sleep?",0,NA,NA,NA,NA,NA,NA,"Q_79","Multiple Choice","integer",FALSE
"Daily Survey 2","","1137","Question 80","Daily Survey 2 ID 11","Item 98","Question","Daily Survey 2 ID 11","Did the pain or discomfort you experienced today interfere with your ability to complete normal daily tasks?",0,NA,NA,NA,NA,NA,NA,"Q_80","Multiple Choice","integer",FALSE
"Daily Survey 2","","1138","Question 100","Daily Survey 2 ID 11","Item 99","Question","Daily Survey 2 ID 11","Did the pain or discomfort you experienced today interfere with your ability to focus <u>mentally</u> on tasks?",0,NA,NA,NA,NA,NA,NA,"Q_100","Multiple Choice","integer",FALSE
"Daily Survey 2","","1139","Question 82","Daily Survey 2 ID 11","Item 102","Question","Daily Survey 2 ID 11","Did you eat other than at a meal time (e.g. snacks) since the last survey?",0,NA,"103","104","1","1",NA,"Q_82","Multiple Choice","integer",FALSE
"Daily Survey 2","","1140","Question 155","Daily Survey 2 ID 11","Item 100","Question","Item 103","How much did you eat?",3,NA,NA,NA,NA,NA,NA,"Q_155","Slider","numeric",FALSE
"Daily Survey 2","","1141","Question 156","Daily Survey 2 ID 11","Item 101","Question","Item 103","To what extent did you feel FULL after eating?",3,NA,NA,NA,NA,NA,NA,"Q_156","Slider","numeric",FALSE
"Daily Survey 2","","1142","Question 85","Daily Survey 2 ID 11","Item 104","Question","Daily Survey 2 ID 11","How many cigarettes did you smoke from waking up today till now?",2,NA,NA,NA,NA,NA,"102","Q_85","Reducing Slider","integer",FALSE
"Daily Survey 2","","1142","Question 85","Daily Survey 2 ID 11","Item 104","Question","Daily Survey 2 ID 11","How many cigarettes did you smoke from waking up today till now?",2,NA,NA,NA,NA,NA,"102","Q_85","Time Scale Slider","integer",FALSE
"Daily Survey 2","","1142","Question 85","Daily Survey 2 ID 11","Item 104","Question","Daily Survey 2 ID 11","How many cigarettes did you smoke from waking up today till now?",2,NA,NA,NA,NA,NA,"102","Q_85","Unit Scale Slider","integer",FALSE
"Daily Survey 2","","1143","Question 86","Daily Survey 2 ID 11","Item 105","Question","Daily Survey 2 ID 11","Thank you once again for participating in our study.",6,NA,NA,NA,NA,NA,NA,"Q_86","Informational Fullscreen",NA,FALSE
"Self-elect Survey","","121","Question 95","Self-elect Survey ID 12","Item 120","Question","Self-elect Survey ID 12","The following question will allow you to proceed to the next burst in the study. If not eligible to proceed at this time, you will not see the authorization question and can check back later.",6,NA,NA,NA,NA,NA,NA,"Q_95","Informational Fullscreen",NA,FALSE
"Self-elect Survey","","122","Question 96","Self-elect Survey ID 12","Item 121","Question","Self-elect Survey ID 12","Congratulations! You are eligible to proceed with the study. Choose 'Yes' if you wish to proceed, or 'No' if you need more time. The next burst will begin immediately if you choose 'Yes'.",0,NA,NA,NA,NA,NA,NA,"Q_96","Multiple Choice","integer",FALSE
"Self-elect Survey","","123","Question 97","Self-elect Survey ID 12","Item 122","Question","Self-elect Survey ID 12","Thank you once again for participating in our study.",6,NA,NA,NA,NA,NA,NA,"Q_97","Informational Fullscreen",NA,FALSE
"Intake Survey 2","","311","Question 1517","Intake Survey 2 ID 31","Item 1474","Question","Intake Survey 2 ID 31","Choose a time near the middle of your day that you are likely to have time to answer a survey",1,NA,NA,NA,NA,NA,NA,"Q_1517","Time Picker","integer",FALSE
"Intake Survey 2","","312","Question 1518","Intake Survey 2 ID 31","Item 1475","Question","Intake Survey 2 ID 31","Choose a time near the end of your day that you are likely to have time to answer a survey",1,NA,NA,NA,NA,NA,NA,"Q_1518","Time Picker","integer",FALSE
NA,NA,NA,NA,"Intake Survey ID 9","Item 112","Block","Intake Survey ID 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Intake Survey ID 9","Item 113","Block","Intake Survey ID 9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 1 ID 10","Item 81","Block","Daily Survey 1 ID 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 1 ID 10","Item 79","Block","Daily Survey 1 ID 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 1 ID 10","Item 77","Block","Item 79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 2 ID 11","Item 84","Block","Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 2 ID 11","Item 93","Block","Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 2 ID 11","Item 77","Block","Item 93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,"Daily Survey 2 ID 11","Item 103","Block","Daily Survey 2 ID 11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
